mode,a_alpha0,mean_psnr_learned,mean_psnr_cubic,mean_support_size,support_sizes,n_train_images,n_test_images,r,m
rgb,5.0,30.616480553827078,30.162299026155885,69.0,73;65;69,8,7,2,11
rgb,10.0,30.613949347880204,30.162299026155885,57.0,61;57;53,8,7,2,11
rgb,20.0,30.611229828067685,30.162299026155885,49.666666666666664,49;53;47,8,7,2,11
rgb,40.0,30.60238062072141,30.162299026155885,41.0,43;43;37,8,7,2,11
rgb,70.0,30.59067257936232,30.162299026155885,35.0,37;39;29,8,7,2,11
rgb,100.0,30.572126704615133,30.162299026155885,31.0,33;33;27,8,7,2,11
rgb,130.0,30.566472532387646,30.162299026155885,29.666666666666668,29;33;27,8,7,2,11
rgb,170.0,30.55077672181198,30.162299026155885,26.333333333333332,27;27;25,8,7,2,11
rgb,210.0,30.54163603053536,30.162299026155885,25.0,27;27;21,8,7,2,11
yiq-luma,5.0,30.507445246540776,30.162299026155885,69.0,69,8,7,2,11
yiq-luma,10.0,30.50537694747794,30.162299026155885,57.0,57,8,7,2,11
yiq-luma,20.0,30.504271099951996,30.162299026155885,53.0,53,8,7,2,11
yiq-luma,40.0,30.496934849462644,30.162299026155885,43.0,43,8,7,2,11
yiq-luma,70.0,30.49116288086798,30.162299026155885,39.0,39,8,7,2,11
yiq-luma,100.0,30.472005701616578,30.162299026155885,33.0,33,8,7,2,11
yiq-luma,130.0,30.466620780639744,30.162299026155885,29.0,29,8,7,2,11
yiq-luma,170.0,30.458053995414936,30.162299026155885,27.0,27,8,7,2,11
yiq-luma,210.0,30.45722216708592,30.162299026155885,27.0,27,8,7,2,11
yiq-all,5.0,30.616440836128326,30.162299026155885,62.333333333333336,69;53;65,8,7,2,11
yiq-all,10.0,30.614738565514106,30.162299026155885,54.333333333333336,57;49;57,8,7,2,11
yiq-all,20.0,30.61366573103689,30.162299026155885,45.666666666666664,53;45;39,8,7,2,11
yiq-all,40.0,30.606731404964034,30.162299026155885,39.0,43;37;37,8,7,2,11
yiq-all,70.0,30.596606181960542,30.162299026155885,33.666666666666664,39;29;33,8,7,2,11
yiq-all,100.0,30.572097005783206,30.162299026155885,29.0,33;27;27,8,7,2,11
yiq-all,130.0,30.563356094785593,30.162299026155885,26.333333333333332,29;25;25,8,7,2,11
yiq-all,170.0,30.551530352978165,30.162299026155885,24.333333333333332,27;25;21,8,7,2,11
yiq-all,210.0,30.549366124956688,30.162299026155885,23.0,27;21;21,8,7,2,11
